"title","field_oeuvre_code_value","field_oeuvre_realisee_value","field_oeuvre_description_value","field_oeuvre_dimensions_value","field_oeuvres_elem_techniques_value","field_oeuvre_edition_value","field_oeuvre_cout_prod_value","field_oeuvre_val_assurance_value","field_oeuvre_prix_vente_value","field_oeuvre_notes_value","field_oeuvre_memo_value","field_oeuvre_emplacement_value","field_oeuvre_collection_value","field_oeuvre_cout_prod_dol_value","field_oeuvre_val_assurance_dol_value","field_oeuvre_prix_vente_dol_value","field_oeuvre_publiable_value","field_oeuvres_notice_value","field_oeuvres_legende_value","field_oeuvres_dim_feet_value","field_sous_titre_value","field_oeuvre_date_value","field_courtesy_value","field_oeuvre_adresse_web_url","category","localisation","logicel","series","filepaths"
"Baroque & classique 1, 1981","1981-BC-BCLASSIQUE1","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 1, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique","sites/default/files/media/images/1981-bc-bclassique1-a_0.jpg"
"Baroque & classique 10, 1981","1981-BC-BCLASSIQUE10","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 10, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 11, 1981","1981-BC-BCLASSIQUE11","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 11, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 12, 1981","1981-BC-BCLASSIQUE12","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 12, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 13, 1981","1981-BC-BCLASSIQUE13","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 13, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 14, 1981","1981-BC-BCLASSIQUE14","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 14, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 15, 1981","1981-BC-BCLASSIQUE15","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 15, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 16, 1981","1981-BC-BCLASSIQUE16","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 16, Miguel Chevalier, Sérigraphie sur Formica, 1981, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 17, 1981","1981-BC-BCLASSIQUE17","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 17, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 18, 1981","1981-BC-BCLASSIQUE18","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 18, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,55 x 15,55 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique","sites/default/files/media/images/1981-bc-bclassique18.jpg"
"Baroque & classique 19, 1981","1981-BC-BCLASSIQUE19","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R1, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 19, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 2, 1981","1981-BC-BCLASSIQUE2","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 2, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 20, 1981","1981-BC-BCLASSIQUE20","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,"Oeuvre signée au dos par l'artiste. Le numéro d'inventaire est écrit à la main avec un feutre noir.",NULL,"La Fabrika, Ivry-sur-Seine (Chambre bleue)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 20, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 21, 1981","1981-BC-BCLASSIQUE21","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R1, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 21, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,55 x 15,55 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 22, 1981","1981-BC-BCLASSIQUE22","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,"Oeuvre signée au dos par l'artiste. Le numéro d'inventaire est écrit à la main avec un feutre noir.",NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 22, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 23, 1981","1981-BC-BCLASSIQUE23","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 23, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 24, 1981","1981-BC-BCLASSIQUE24","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 24, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 25, 1981","1981-BC-BCLASSIQUE25","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 25, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 26, 1981","1981-BC-BCLASSIQUE26","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"Le Chesnay","Collection particulière Florence Valdès Forain",NULL,NULL,NULL,"oui",NULL,"Baroque & classique 26, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Vendu",NULL,"Baroque et classique",NULL
"Baroque & classique 27, 1981","1981-BC-BCLASSIQUE27","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 27, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 28, 1981","1981-BC-BCLASSIQUE28","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,"L'oeuvre est signée au dos par l'artiste. Le numéro d'inventaire est écrit à la main avec un feutre noir.",NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 28, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,55 x 15,55 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique","sites/default/files/media/images/23cl058.jpg"
"Baroque & classique 29, 1981","1981-BC-BCLASSIQUE29","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 29, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 3, 1981","1981-BC-BCLASSIQUE3","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 3, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 30, 1981 ","1981-BC-BCLASSIQUE30","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 30, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Prêt",NULL,"Baroque et classique",NULL
"Baroque & classique 31, 1981","1981-BC-BCLASSIQUE31","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 31, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 32, 1981","1981-BC-BCLASSIQUE32","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur verre","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 32, Miguel Chevalier, 1981, Sérigraphie sur verre, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 33, 1981","1981-BC-BCLASSIQUE33","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 33, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 34, 1981","1981-BC-BCLASSIQUE34","oui",NULL,"-","Sérigraphie sur mur","Oeuvre unique",NULL,NULL,NULL,"Réalisé à partir d'un robot à peindre de Paul Longavin et Victor Griot","Contacté le musée de Belfort pour avoir des informations sur cette pièce.","Musée de Belfort","Musée de Belfort",NULL,NULL,NULL,"oui",NULL,"Baroque & classique 34, Miguel Chevalier, 1981, Sérigraphie sur mur réalisée à partir d'un robot à peindre de Paul Longavin et Victor Griot, Oeuvre unique",NULL,NULL,1981,NULL,NULL,"Sérigraphie","Vendu",NULL,"Baroque et classique",NULL
"Baroque & classique 35, 1981","1981-BC-BCLASSIQUE35","oui",NULL,"52 x 52 x 20 cm","Sérigraphie, verre armé et Formica","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"Collectionneur","Collection Emmanuel d'André",NULL,NULL,NULL,"oui",NULL,"Baroque et classique, Miguel Chevalier, 1981, Sérigraphie, verre armé et Formica, 52 x 52 x 20 cm, Oeuvre unique","20,47 x 20,47 x 7,87 in",NULL,1981,NULL,NULL,"Sérigraphie","Vendu",NULL,"Baroque et classique",NULL
"Baroque & classique 36, 1981","1981-BC-BCLASSIQUE36","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie montée sur cadre en aluminium peint en noir","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 36, Miguel Chevalier, 1981, Sérigraphie montée sur cadre en aluminium peint en noir, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique ","1981-BC-BCLASSIQUE37","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie","Oeuvre unique",NULL,NULL,NULL,"Vérifier la date avec Miguel. L'oeuvre est signée au dos par l'artiste. Le numéro d'inventaire est écrit à la main avec un feutre noir.",NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique , Miguel Chevalier, 1981, Sérigraphie, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,55 x 15,55 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique ","1981-BC-BCLASSIQUE38","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie","Oeuvre unique",NULL,NULL,NULL,"Vérifier la date avec Miguel. L'oeuvre est signée au dos par l'artiste. Le numéro d'inventaire est écrit à la main avec un feutre noir.",NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique, Miguel Chevalier, 1981, Sérigraphie, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,55 x 15,55 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 39, 1981","1981-BC-BCLASSIQUE39","oui",NULL,"100 x 100 x 15 cm","Cibachrome sous Plexiglas","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"non",NULL,"Baroque & classique 39, Miguel Chevalier, 1981, Cibachrome sous Plexiglas, 100 x 100 x 15 cm, Oeuvre unique","39,50 x 39,50 x 5 in",NULL,1981,NULL,NULL,"Impression","Inconnue",NULL,"Baroque et classique","sites/default/files/media/images/1981-bc-bclassique1-a.jpg"
"Baroque & classique 4, 1981","1981-BC-BCLASSIQUE4","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 4, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 40, 1981","1981-BC-BCLASSIQUE40","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,"Oeuvre signée au dos par l'artiste. Le numéro d'inventaire est écrit à la main avec un feutre noir.",NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L3)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 40, Miguel Chevalier, 1981, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 41, 1981","1981-BC-BCLASSIQUE41","oui",NULL,"40 x 40 cm","Sérigraphie sur verre","Oeuvre unique",NULL,NULL,NULL,"Oeuvre non signée",NULL,"La Fabrika, Ivry-sur-Seine (Chambre bleue)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 41, Miguel Chevalier, 1981, Sérigraphie sur verre, 40 x 40 cm, Oeuvre unique","15,75 x 15,75 in",NULL,1981,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 5, 1981","1981-BC-BCLASSIQUE5","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 5, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 6, 1981","1981-BC-BCLASSIQUE6","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 6, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 7, 1981","1981-BC-BCLASSIQUE7","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 7, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 8, 1981","1981-BC-BCLASSIQUE8","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 8, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 9, 1981","1981-BC-BCLASSIQUE9","non",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 9, Miguel Chevalier, 1981, Image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1981,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Auto-portrait","1981-OJ-AUTOPORTRAIT","oui",NULL,"30 x 26 x 11,50 cm","Impression su Plexiglas éclairée par une ampoule vissée sur la base de l'oeuvre","Oeuvre unique",NULL,NULL,NULL,"Contrôler date et titre avec Miguel",NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 1, Etagère 2: R2, L4)",NULL,NULL,NULL,NULL,"oui",NULL,"Auto-portrait, Miguel Chevalier, 1981, Impression su Plexiglas éclairée par une ampoule vissée sur la base de l'oeuvre, 30 x 26 x 11,50 cm, Oeuvre unique","11,81 x 10,23 x 4,52 in",NULL,1981,NULL,NULL,"Impression","Atelier",NULL,"Oeuvres de jeunesse","sites/default/files/media/images/1981-oj-autoportrait3.jpg,sites/default/files/media/images/1981-oj-autoportrait2.jpg"
"Baroque & classique, 1982","1982-BC-BCLASSIQUE(1)","oui",NULL,"-","Image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique, Miguel Chevalier, 1982, Image digitalisée (prototype)",NULL,NULL,1982,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"In vitro, 1982","1982-BC-INVITRO(1)","oui",NULL,"-","Extrait de la série des sérigraphies sur verre, image digitalisée (prototype)",NULL,NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"In vitro, Miguel Chevalier, 1982, Extrait de la série des sérigraphies sur verre, image digitalisée (prototype), Œuvre non réalisée",NULL,NULL,1982,NULL,NULL,"Image digitalisée","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 1, 1983","1983-BC-BCLASSIQUE1","oui","L'oeuvre se compose des éléments: 1983-BC-BCLASSIQUE1(1), 1983-BC-BCLASSIQUE2(1), 1983-BC-BCLASSIQUE3(1) et 1983-BC-BCLASSIQUE4(1).","4 x (42 x 42 cm)","Sérigraphie sur aggloméré","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 1, Miguel Chevalier, 1983, Sérigraphie sur aggloméré, 4 x (42 x 42 cm), Oeuvre unique","4 x (16,53 x 16,53 in)",NULL,1983,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique","sites/default/files/media/images/1983-bc-bclassique41.jpg,sites/default/files/media/images/1983-bc-bclassique31_0.jpg,sites/default/files/media/images/1983-bc-bclassique21_0.jpg,sites/default/files/media/images/1983-bc-bclassique11.jpg"
"Baroque & classique 10","1983-BC-BCLASSIQUE10","oui",NULL,"39,50 x 39,50 x 1,80 cm","Sérigraphie sur Formica","Oeuvre unique",NULL,NULL,NULL,"L'oeuvre est signée au dos par l'artiste. Le numéro d'inventaire est écrit à la main avec un feutre noir.",NULL,"La Fabrika, Ivry-sur-Seine, Bâtiment Jean Jaurès (Salle 4, Etagère 3: R2, L2)",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 10, Miguel Chevalier, 1983, Sérigraphie sur Formica, 39,50 x 39,50 x 1,80 cm, Oeuvre unique","15,70 x 15,70 x 0,70 in",NULL,1983,NULL,NULL,"Sérigraphie","Atelier",NULL,"Baroque et classique",NULL
"Baroque & classique 2, 1983","1983-BC-BCLASSIQUE2","oui","L' oeuvre se compose des éléments: 1983-BC-BCLASSIQUE1(2); 1983-BC-BCLASSIQUE2(2); 1983-BC-BCLASSIQUE3(2); 1983-BC-BCLASSIQUE4(2)/
visuel mono 1 005","4 x (50 x 50 cm)","Cibachrome sous Plexiglas, châssis en aluminium","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 2, Miguel Chevalier, 1983, Cibachrome sous Plexiglas, châssis en aluminium, 4 x (50 x 50 cm), Oeuvre unique","4 x (19,75 x 19,75 in)",NULL,1983,NULL,NULL,"Impression","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 3, 1983","1983-BC-BCLASSIQUE3","oui","L'oeuvre se compose des éléments: 1983-BC-BCLASSIQUE1(3), 1983-BC-BCLASSIQUE2(3), 1983-BC-BCLASSIQUE3(3) et 1983-BC-BCLASSIQUE4(3).","-","Sérigraphie","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 3, Miguel Chevalier, 1983, Sérigraphie, Oeuvre unique",NULL,NULL,1983,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
"Baroque & classique 4, 1983","1983-BC-BCLASSIQUE4","oui","L'oeuvre se compose des éléments: 1983-BC-BCLASSIQUE1(4), 1983-BC-BCLASSIQUE2(4); 1983-BC-BCLASSIQUE3(4) et 1983-BC-BCLASSIQUE4(4).","-","Sérigraphie","Oeuvre unique",NULL,NULL,NULL,NULL,NULL,"-",NULL,NULL,NULL,NULL,"oui",NULL,"Baroque & classique 4, Miguel Chevalier, 1983, Sérigraphie, Oeuvre unique",NULL,NULL,1983,NULL,NULL,"Sérigraphie","Inconnue",NULL,"Baroque et classique",NULL
