"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","filepaths"
"Pixels Power LISBONNE","Galerie Antonio Prates, rua Alexandre Herculano 39A, 1250-009 Lisbonne (POR)","perso","2010-11-12T00:00:00","2010-12-10T00:00:00","Galerie Antonio Prates","2010-E-LISBONNE","sites/default/files/media/images/2010-e-lisbonne-14.jpg,sites/default/files/media/images/2010-e-lisbonne-13.jpg,sites/default/files/media/images/2010-e-lisbonne-12.jpg,sites/default/files/media/images/2010-e-lisbonne-11.jpg,sites/default/files/media/images/2010-e-lisbonne-10.jpg,sites/default/files/media/images/2010-e-lisbonne-9.jpg,sites/default/files/media/images/2010-e-lisbonne-8.jpg,sites/default/files/media/images/2010-e-lisbonne-7.jpg,sites/default/files/media/images/2010-e-lisbonne-6.jpg,sites/default/files/media/images/2010-e-lisbonne-5.jpg,sites/default/files/media/images/2010-e-lisbonne-4.jpg,sites/default/files/media/images/2010-e-lisbonne-3.jpg,sites/default/files/media/images/2010-e-lisbonne-2.jpg,sites/default/files/media/images/2010-e-lisbonne-1.jpg"
"Pixels Snow","La Grenette, Grand Bornand (FRA)","perso","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-GRANDBORNAND","sites/default/files/media/images/2010-e-grandbornand-2.jpg,sites/default/files/media/images/2010-e-grandbornand-3.jpg,sites/default/files/media/images/2010-e-grandbornand-4.jpg,sites/default/files/media/images/2010-e-grandbornand-5.jpg,sites/default/files/media/images/2010-e-grandbornand-6.jpg,sites/default/files/media/images/2010-e-grandbornand-1.jpg"
"Pixels Snow","Les Halles de Paris","perso","2011-01-01T00:00:00","2011-01-01T00:00:00",NULL,"2011-E-PARISHALLESC","sites/default/files/media/images/2011-e-parishallesc-3.jpg,sites/default/files/media/images/2011-e-parishallesc-2.jpg,sites/default/files/media/images/2011-e-parishallesc-1.jpg"
"Pixels Snow","Piste des Gettiers, Grand Bornand (FRA)","perso","1950-04-19T00:00:00","1950-04-19T00:00:00","-","2009-E-GRANDBORNAND","sites/default/files/media/images/2009-e-grandbornand-2.jpg,sites/default/files/media/images/2009-e-grandbornand-3.jpg,sites/default/files/media/images/2009-e-grandbornand-4.jpg,sites/default/files/media/images/2009-e-grandbornand-5.jpg,sites/default/files/media/images/2009-e-grandbornand-1.jpg"
"Pixels Snow Halles","Place du Forum des Halles, Paris, France","perso","2011-11-17T00:00:00","2012-01-07T00:00:00",NULL,"2011-E-PIXELSNOWHALLES","sites/default/files/media/images/2011-fs-adhesifs6_0.jpg,sites/default/files/media/images/2011-fs-flocons_decoupe_0.jpg,sites/default/files/media/images/2011-fs-digitcris_0.jpg,sites/default/files/media/images/2011-fs-pixelsnow2.jpg,sites/default/files/media/images/2011-fs-pixelsnow1.jpg,sites/default/files/media/images/2011-fs-adhesifs2.jpg,sites/default/files/media/images/2011-fs-adhesifs4_0.jpg,sites/default/files/media/images/2011-fs-q-adhesifs3.jpg"
"Plemmeur bodou","Plemmeur Bodou","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-PLEMMEURBODOU","sites/default/files/media/images/2008-e-plemmeurbodou-1.jpg,sites/default/files/media/images/2008-e-plemmeurbodou-2.jpg,sites/default/files/media/images/2008-e-plemmeurbodou-3.jpg,sites/default/files/media/images/2008-e-plemmeurbodou-4.jpg,sites/default/files/media/images/2008-e-plemmeurbodou-5.jpg"
"Poésie Fractale","Galerie scène ouverte, Puces de Saint-Ouen, Marché Paul Bert, Allé 1, stands 130-132, 96 rue des Rosiers, 93400 Saint-Ouen","groupe","2016-06-17T00:00:00","2016-07-25T00:00:00","Laurence Bonnel","2016-E-SAINTOUEN",NULL
"Portraits de Femmes de la Bible","Galerie Nikki Diana Marquardt, Paris (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-PARISMARQUARDT",NULL
"Power Pixels","Espace d'art contemporain André Malraux, Colmar","perso","2012-06-30T00:00:00","2012-10-13T00:00:00",NULL,"2012-E-COLMAR","sites/default/files/media/images/2012-e-colmar-1.jpg,sites/default/files/media/images/2012-e-colmar-2.jpg,sites/default/files/media/images/2012-e-colmar-3.jpg,sites/default/files/media/images/2012-e-colmar-4.jpg,sites/default/files/media/images/2012-e-colmar-5.jpg,sites/default/files/media/images/2012-e-colmar-6.jpg,sites/default/files/media/images/2012-e-colmar-7.jpg,sites/default/files/media/images/2012-e-colmar-8.jpg,sites/default/files/media/images/2012-e-colmar-9.jpg,sites/default/files/media/images/2012-e-colmar-10.jpg,sites/default/files/media/images/2012-e-colmar-11.jpg,sites/default/files/media/images/2012-e-colmar-12.jpg,sites/default/files/media/images/2012-e-colmar-13.jpg"
"Power Pixels","Galerie Georges Verney-Carron, Lyon (FRA)","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2009-E-LYONVCARRON","sites/default/files/media/images/2009-e-lyonvcarron-5.jpg,sites/default/files/media/images/2009-e-lyonvcarron-4.jpg,sites/default/files/media/images/2009-e-lyonvcarron-3.jpg,sites/default/files/media/images/2009-e-lyonvcarron-2.jpg,sites/default/files/media/images/2009-e-lyonvcarron-1.jpg"
"Power Pixels","Musée en Herbe, Paris (FRA)","perso","2013-06-27T00:00:00","2013-09-08T00:00:00",NULL,"2013-E-PARISMHERBE",NULL
"Power Pixels 2013","Wood Street Galleries, Pittsburgh (USA)","perso","2013-10-14T00:00:00","2013-10-14T00:00:00",NULL,"2013-E-PITTSBURGH",NULL
"Power Pixels BARNOUD","Entrepôt 9 / Nouvel espace de la Galerie Barnoud, Quetigny","perso","2012-06-23T00:00:00","2012-09-08T00:00:00",NULL,"2012-E-QUETIGNYBARNOUD","sites/default/files/media/images/2012-e-quetignybarnoud-2.jpg,sites/default/files/media/images/2012-e-quetignybarnoud-3.jpg,sites/default/files/media/images/2012-e-quetignybarnoud-4.jpg,sites/default/files/media/images/2012-e-quetignybarnoud-5.jpg,sites/default/files/media/images/2012-e-quetignybarnoud-6.jpg,sites/default/files/media/images/2012-e-quetignybarnoud-7.jpg,sites/default/files/media/images/2012-e-quetignybarnoud-8.jpg,sites/default/files/media/images/2012-e-quetignybarnoud-9.jpg,sites/default/files/media/images/2012-e-quetignybarnoud-1.jpg"
"Power Pixels BAUX DE PROVENCE","Carrières de Lumières, Baux-de-Provence","perso","2012-07-19T00:00:00","2012-07-21T00:00:00","Leïla G. Voight","2012-E-BXPROVENCE","sites/default/files/media/images/2012-e-bxprovence-1.jpg,sites/default/files/media/images/2012-e-bxprovence-2.jpg,sites/default/files/media/images/2012-e-bxprovence-3.jpg,sites/default/files/media/images/2012-e-bxprovence-4.jpg,sites/default/files/media/images/2012-e-bxprovence-5.jpg,sites/default/files/media/images/2012-e-bxprovence-6.jpg,sites/default/files/media/images/2012-e-bxprovence-7.jpg,sites/default/files/media/images/2012-e-bxprovence-8.jpg,sites/default/files/media/images/2012-e-bxprovence-9.jpg"
"Power Pixels BRUXELLES","Galerie LMS , Av. Louise 335, 1050 Bruxelles","perso","2016-04-21T00:00:00","2016-06-09T00:00:00","Galerie LMS en collaboration avec la Galerie Keza (Paris)","2016-E-BRUXELLES","sites/default/files/media/images/2016-e_lmsbruxelles12_0.jpg,sites/default/files/media/images/2016-e-lmsbruxelles10_1.jpg,sites/default/files/media/images/2016-e-lmsbruxelles9_5.jpg,sites/default/files/media/images/2016-e-lmsbruxelles8_2.jpg,sites/default/files/media/images/2016-e-lmsbruxelles4_2.jpg,sites/default/files/media/images/2016-e-lmsbruxelles3_2.jpg,sites/default/files/media/images/2016-e-lmsbruxelles2_1.jpg,sites/default/files/media/images/13001282_243989202621624_750952275846808935_n.jpg,sites/default/files/media/images/2016-e-lmsbruxelles1_0.jpg"
"Power Pixels ENGHIEN LES BAINS","Centre des arts, Enghien-les-Bains (France)","perso","2013-09-20T00:00:00","2013-12-15T00:00:00",NULL,"2013-E-ENGHIENLESBAINS","sites/default/files/media/images/2013-rx-tableconvivial2_1.jpg,sites/default/files/media/images/2013-rx-tableconvivial1_0.jpg"
"Power Pixels HEUSDEN","Galerie Priveekollektie, Pelsestraat 13-15, 5256 Heusden aan de Maas (NLD)","perso","2011-04-10T00:00:00","2011-05-07T00:00:00",NULL,"2011-E-HEUSDENAANDEMAAS","sites/default/files/media/images/2011-e-priveekollectie-2.jpg,sites/default/files/media/images/2011-e-priveekollectie-3.jpg,sites/default/files/media/images/2011-e-priveekollectie-4.jpg,sites/default/files/media/images/2011-e-priveekollectie-5.jpg,sites/default/files/media/images/2011-e-priveekollectie-6.jpg,sites/default/files/media/images/2011-e-priveekollectie-7.jpg,sites/default/files/media/images/2011-e-priveekollectie-8.jpg,sites/default/files/media/images/2011-e-priveekollectie-9.jpg,sites/default/files/media/images/2011-e-priveekollectie-10.jpg,sites/default/files/media/images/2011-e-priveekollectie-1.jpg"
"Power Pixels KVINESDAL","Utsikten Kunstsenter, Kvinesdal, Norvège","perso","2014-03-21T00:00:00","2014-04-27T00:00:00","Torill Haugen","2014-E-KVINESDAL","sites/default/files/media/images/chevalier_norway_invitation2_0.jpg,sites/default/files/media/images/chevalier_norway_invitation_1_0.jpg"
"Power Pixels LYON","Galerie Georges Verney-Carron, 45, quai Rambaud 69002, Lyon","perso","2009-12-04T00:00:00","2010-02-13T00:00:00","Galerie Georges Verney-Carron","2009-E-LYONCARRON",NULL
"Power Pixels MIAMI","Lélia Mordoch Gallery, 2300 N Miami Av, Miami FL 33127 - USA","perso","2016-11-27T00:00:00","2017-11-28T00:00:00","Lélia Mordoch Gallery","2016-E-MIAMI",NULL
"Power Pixels PARISGRAF 2018","Galerie par GRAF Notaires, 104 avenue des Champs-Elysées, 75008 Paris","perso","2018-10-10T00:00:00","2019-01-24T00:00:00","Helena Barbier","2018-E-PARISGRAF",NULL
"Power Pixels RIO","Fondation Oi Futuro, Rio de Janeiro (BRA)","perso","2011-05-17T00:00:00","2011-07-03T00:00:00",NULL,"2011-E-RIO","sites/default/files/media/images/2011-e-rio-4.jpg,sites/default/files/media/images/2011-e-rio-5.jpg,sites/default/files/media/images/2011-e-rio-6.jpg,sites/default/files/media/images/2011-e-rio-7.jpg,sites/default/files/media/images/2011-e-rio-8.jpg,sites/default/files/media/images/2011-e-rioflyer.jpg,sites/default/files/media/images/2011-e-rio_flyerv.jpg,sites/default/files/media/images/2011-e-rio-3.jpg,sites/default/files/media/images/2011-e-rio-2.jpg,sites/default/files/media/images/2011-e-rio-1.jpg"
"Power Pixels SAINT GERVAIS LES BAINS","Pile Pont Expo, Saint-Gervais les Bains (FRA)","perso","2013-10-14T00:00:00","2013-10-14T00:00:00",NULL,"2013-E-STGERVAISLESBAINS",NULL
"Power Pixels SITGES","Fundació Stämpfli, Sitges ","perso","2014-04-26T00:00:00","2014-10-05T00:00:00",NULL,"2014-E-SITGES",NULL
"Power Pixels VILLAROGER","Mineral Lodge, Villaroger","perso","2019-07-24T00:00:00","2019-08-24T00:00:00",NULL,"2019-E-VILLAROGER",NULL
"Précieux Eden","Villa Empain, Bruxelles","perso","2011-11-10T00:00:00","2011-11-13T00:00:00","Société Maison Parisienne","2011-E-BRUXELLES","sites/default/files/media/images/2011-e-bruxelles.jpg"
"Printemps de Cahors","Cahors (FRA)","groupe","1995-01-01T00:00:00","1995-01-01T00:00:00",NULL,"1995-E-CAHORS",NULL
"Procédures","Ecole nationale des beaux-arts, Paris (FRA)","groupe","1993-01-01T00:00:00","1993-01-01T00:00:00",NULL,"1993-E-PARIS",NULL
"Projections franco-polonaises","Tower Building, Lodz (POL)","groupe","1999-01-01T00:00:00","1999-01-01T00:00:00",NULL,"1999-E-LODZ",NULL
"Promenons nous","Atelier Ivry","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-IVRYPROMENONS","sites/default/files/media/images/2008-e-ivrypromenons-1.jpg,sites/default/files/media/images/2008-e-ivrypromenons-2.jpg,sites/default/files/media/images/2008-e-ivrypromenons-3.jpg"
"Quatre petits points","Galerie Edouard Escougnou, 7 rue Saint Claude, 75003 Paris (F)","groupe","2019-10-12T00:00:00","2019-10-30T00:00:00","Raphael Ocampo","2019-E-PARISESCOUGNOU",NULL
"Red Desert","Galerie Artvera's, 1 rue Etienne Dumont, 1024 Genève Suisse","groupe","2016-11-18T00:00:00","2017-02-25T00:00:00","Flaminia Scauso","2016-E-GENEVE",NULL
"Redécouverte","Musée de la Cie des Indes, Citadelle de Port-Louis, Lorient (FRA)","perso","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-LORIENT",NULL
"Rencontres arts électroniques","Ecole régionale des beaux-arts, Rennes (FRA)","groupe","1997-01-01T00:00:00","1997-01-01T00:00:00",NULL,"1997-E-RENNES",NULL
"Rencontres d'art multimédia","Château de l'Eglantine, Jouy-en-Josas (FRA)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-JOUYENJOSAS",NULL
"Réseaux","Galerie Sylvana Lorenz, 13 rue Chapon, 75003 Paris (FRA)","perso","1992-11-01T00:00:00","1992-12-01T00:00:00","Galerie Sylvana Lorenz","1992-E-PARISLORENZ","sites/default/files/media/images/1992-e-parislorenz2.jpg"
"Réseaux et interactions","CRAMIF, 17-19 avenue de Flandre 75954 Paris cedex 19","groupe","2016-11-02T00:00:00","2016-11-17T00:00:00","Patrick Amine","2016-E-PARISCRAMIF",NULL
"Retrospective Auguste Herbin","Musée d'art Moderne de Céret, Céret (FRA)","groupe","2013-10-14T00:00:00","2013-10-14T00:00:00",NULL,"2013-E-CERET",NULL
"Retrospective Auguste Herbin","Musée départemental Matisse, Cateau Cambrésis (FRA)","groupe","2012-10-14T00:00:00","2012-10-14T00:00:00","Dominique Szymusiak","2012-E-CATEAUCAMBRESIS","sites/default/files/media/images/vague_herbin7.jpg,sites/default/files/media/images/vague_herbin6.jpg,sites/default/files/media/images/vague_herbin3_0.jpg,sites/default/files/media/images/vague_herbin2_0.jpg,sites/default/files/media/images/vague_herbin1_0.jpg,sites/default/files/media/images/matisse_herbin.jpg,sites/default/files/media/images/carton_herbin.jpg"
"RGB Land","Wood Street Galleries, Pittsburgh (USA)","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-PITTSBURG","sites/default/files/media/images/2006-e-pittsburg-2.jpg,sites/default/files/media/images/2006-e-pittsburg-3.jpg,sites/default/files/media/images/2006-e-pittsburg-4.jpg,sites/default/files/media/images/2006-e-pittsburg-5.jpg,sites/default/files/media/images/2006-e-pittsburg-1_0.jpg"
"RIAM 01 - Rencontres Internationales des Arts Multimédia","Galerie SMP, Galerie RLBQ, Marseille (FRA)","groupe","2004-01-01T00:00:00","2004-01-01T00:00:00",NULL,"2004-E-MARSEILLE",NULL
"Saint remy","Saint Remy","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2010-E-STREMY","sites/default/files/media/images/2010-e-stremy-8.jpg,sites/default/files/media/images/2010-e-stremy-7.jpg,sites/default/files/media/images/2010-e-stremy-6.jpg,sites/default/files/media/images/2010-e-stremy-5.jpg,sites/default/files/media/images/2010-e-stremy-4.jpg,sites/default/files/media/images/2010-e-stremy-3.jpg,sites/default/files/media/images/2010-e-stremy-2_0.jpg,sites/default/files/media/images/2010-e-stremy-1_0.jpg"
"Saint Tropez","Saint Tropez","perso","1950-01-01T00:00:00","1950-01-01T00:00:00",NULL,"2011-E-STTROPEZ","sites/default/files/media/images/2011-e-sttropez-1.jpg"
"Salon des arts plastiques de Romainville","Palais des fêtes, 28 avenue Paul Vaillant-Couturier - 93230 Romainville","groupe","2003-10-12T00:00:00","2003-10-25T00:00:00",NULL,"2003-E-ROMAINVILLE","sites/default/files/media/images/2003-e-romainvilleinvitv.jpg"
"Salon du livre","Salon du livre, Paris (FRA)","groupe","2012-10-14T00:00:00","2012-10-14T00:00:00",NULL,"2012-E-PARISARICHI",NULL
"Salon International du Livre Ancien avec la Librairie Serge Plantureux","Grand Palais, Avenue Winston Churchill, 75008 Paris","perso","2009-06-19T00:00:00","2009-06-21T00:00:00","Grand Palais","2009-E-PARIS(LIVREANCIEN)","sites/default/files/media/images/2009-e-grandpalaislivreancien.jpg"
"Salon Jeune peinture","Grand Palais, Paris (FRA)","groupe","1990-01-01T00:00:00","1990-01-01T00:00:00",NULL,"1990-E-PARISGPALAIS",NULL
"Schöffer et ses amis d'aujourd'hui","La Ville A des Arts, 15 rue Hégésippe Moreau, 75018 Paris","groupe","2018-04-25T00:00:00","2018-05-31T00:00:00","Eléonore Schöffer","2018-E-PARISVILLEADESARTS",NULL
"Segunda Natureza","Espaço cultural Marcantonio Vilaça, Tribunal de Contas da União - Ed. Sede Setor de Administração Federal Sul, quadra 4, lote 1 CEP: 70042-900, Brasília-DF","perso","2009-07-17T00:00:00","2009-08-22T00:00:00","Espaço cultural Marcantonio Vilaça","2009-E-BRASILIA","sites/default/files/media/images/2009-e-brasiliamarcantonio-10_0.jpg,sites/default/files/media/images/2009-e-brasiliamarcantonio-9_0.jpg,sites/default/files/media/images/2009-e-brasiliamarcantonio-8_0.jpg,sites/default/files/media/images/2009-e-brasiliamarcantonio-7_0.jpg,sites/default/files/media/images/2009-e-brasiliamarcantonio-5_1.jpg,sites/default/files/media/images/2009-e-brasiliamarcantonio-4_0.jpg,sites/default/files/media/images/2009-e-brasiliamarcantonio-3_1.jpg,sites/default/files/media/images/2009-e-brasiliamarcantonio-2_1.jpg,sites/default/files/media/images/2009-e-brasiliamarcantonio-1_0.jpg,sites/default/files/media/images/convitevirtual6.jpg,sites/default/files/media/images/2009-e-brasiliamarcantonio-11_0.jpg"
"Shadows","Galerie italienne, 15 rue du Louvre, 75001 Paris (F)","groupe","2019-05-17T00:00:00","2019-06-29T00:00:00","David Rosenberg","2019-E-PARISGITALIENNE",NULL
"Show Off","Paris (FR)","groupe","2013-10-21T00:00:00","2013-10-23T00:00:00","-","2013-E-SHOWOFF","sites/default/files/media/images/2013-e-showoff-6.jpg,sites/default/files/media/images/2013-e-showoff-2.jpg,sites/default/files/media/images/2013-e-showoff-9.jpg,sites/default/files/media/images/2013-e-showoff-7.jpg,sites/default/files/media/images/2013-e-showoff-8.jpg,sites/default/files/media/images/2013-e-showoff-3.jpg,sites/default/files/media/images/2013-e-showoff-4.jpg,sites/default/files/media/images/2013-e-showoff-5.jpg,sites/default/files/media/images/2013-e-showoff-1.jpg"
"Singapour","Singapore Art Museum, Singapore (SGP)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00","-","2010-E-SINGAPOUR","sites/default/files/media/images/2010-e-singapour-1.jpg,sites/default/files/media/images/2010-e-singapour-2.jpg,sites/default/files/media/images/2010-e-singapour-3.jpg,sites/default/files/media/images/2010-e-singapour-4.jpg,sites/default/files/media/images/2010-e-singapour-5.jpg"
"Slick 09","Galerie Barnoud (Dijon), 104, Paris (FRA)","perso","2009-10-14T00:00:00","2009-10-14T00:00:00",NULL,"2009-E-PARISSLICK",NULL
"SLICK contemporary art fair 2006","Galerie Numericausa, Paris (FRA)","groupe","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-PARISSLICK",NULL
"Slick Numeriscausa","Galerie Numeriscausa, Paris (FRA)","perso","2008-01-01T00:00:00","2008-01-01T00:00:00",NULL,"2008-E-SLICKNUMERISCAUSA","sites/default/files/media/images/2008-e-slicknumeriscausa-1.jpg,sites/default/files/media/images/2008-e-slicknumeriscausa-2.jpg,sites/default/files/media/images/2008-e-slicknumeriscausa-3.jpg,sites/default/files/media/images/2008-e-slicknumeriscausa-4.jpg,sites/default/files/media/images/2008-e-slicknumeriscausa-5.jpg,sites/default/files/media/images/2008-e-slicknumeriscausa-6.jpg,sites/default/files/media/images/2008-e-slicknumeriscausa-7.jpg,sites/default/files/media/images/2008-e-slicknumeriscausa-8.jpg,sites/default/files/media/images/2008-e-slicknumeriscausa-9.jpg"
"Slick08","Galerie Barnoud (Dijon) (FRA)","perso","2008-01-01T00:00:00","2008-01-01T00:00:00",NULL,"2008-E-SLICKBARNOUD","sites/default/files/media/images/2008-e-slickbarnoud-1.jpg,sites/default/files/media/images/2008-e-slickbarnoud-2.jpg,sites/default/files/media/images/2008-e-slickbarnoud-3.jpg"
"Space Art","Maison Européenne de la Photographie, Paris (FRA)","groupe","2003-01-01T00:00:00","2003-01-01T00:00:00",NULL,"2003-E-PARISPHOTOGRAPHIE",NULL
"Still alive...","PERL, 115 rue Réaumur - 75002 Paris","groupe","2016-11-24T00:00:00","2016-11-26T00:00:00","-","2016-E-PARISPERL",NULL
"Street art & art digital - Le XXIème siècle a 20 ans","Galérie Lélia Mordoch, 50 rue Mazarine, Paris (FRA)","groupe","2020-10-08T00:00:00","2020-12-25T00:00:00",NULL,"2020-E-PARISMORDOCH",NULL
"Studio de l'Arc","Arles","groupe","1988-01-01T00:00:00","1988-01-01T00:00:00",NULL,"1988-E-ARLES",NULL
"Supra-Natura","Buenos Aires (ARG)","perso","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-BUENOSAIRES",NULL
"Supra-Natura","Lisbonne (POR)","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-LISBONNE","sites/default/files/media/images/2006-e-lisbonne-2.jpg,sites/default/files/media/images/2006-e-lisbonne-3_0.jpg,sites/default/files/media/images/2006-e-lisbonne-1.jpg"
"Supra-Natura","Museo do Chiado, Luzboa (P)","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-LUZBOA",NULL
"Sur le fil ","Biche de Bere Gallery, 1506 Manhattan Avenue, Union City, New Jersey 07087","groupe","2005-09-02T00:00:00","2005-10-02T00:00:00","Biche de Bere Gallery","2005-E-UNIONCITYBICHE","sites/default/files/media/images/2005-e-surlefilcp.jpg"
"Sur le fil","Biche de Bere Gallery, Paris (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00","Galerie Biche de Bere","2005-E-PARISBICHE1",NULL
"Sur-Nature","Amiens","perso","1950-01-01T00:00:00","1950-01-01T00:00:00",NULL,"2007-E-AMIENS","sites/default/files/media/images/2007-e-amiens-1.jpg,sites/default/files/media/images/2007-e-amiens-2.jpg,sites/default/files/media/images/2007-e-amiens-3.jpg,sites/default/files/media/images/2007-e-amiens-4.jpg,sites/default/files/media/images/2007-e-amiens-5.jpg"
"Sur-Nature","Nancy","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2007-E-NANCY","sites/default/files/media/images/2007-e-nancy-1.jpg,sites/default/files/media/images/2007-e-nancy-2.jpg,sites/default/files/media/images/2007-e-nancy-3.jpg,sites/default/files/media/images/2007-e-nancy-4.jpg,sites/default/files/media/images/2007-e-nancy-5.jpg"
"Sur-Natures"," Weber, Berlin","perso","2011-01-01T00:00:00","2011-01-01T00:00:00",NULL,"2011-E-BERLIN",NULL
"Sur-Natures","171 rue du Chevaleret, Paris (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-PARISNUITBLANCHE",NULL
"Sur-Natures","Aix-en-Provence (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-AIXENPROVENCE",NULL
"Sur-Natures","Boulogne Billancourt (FRA)","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-BOULOBNEBILLANCOURT",NULL
"Sur-Natures","Centre culturel Saint-Exupéry festival Chemins numériques, Reims (FRA)","groupe","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-REIMS","sites/default/files/media/images/2006-e-reims-4.jpg,sites/default/files/media/images/2006-e-reims-3.jpg,sites/default/files/media/images/2006-e-reims-5.jpg,sites/default/files/media/images/2006-e-reims-1.jpg,sites/default/files/media/images/2006-e-reims-2.jpg"
"Sur-Natures","Chaumont","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-CHAUMONT","sites/default/files/media/images/2006-e-chaumont-2.jpg,sites/default/files/media/images/2006-e-chaumont-3.jpg,sites/default/files/media/images/2006-e-chaumont-4.jpg,sites/default/files/media/images/2006-e-chaumont-1.jpg"
"Sur-Natures","Complexe Michaud, Montlouis-sur-Loire (FRA)","perso","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-MONTLOUISSURLOIRE",NULL
"Sur-Natures","Domaine Orenga de Gaffory, Patrimonio (FRA)","perso","2003-01-01T00:00:00","2003-01-01T00:00:00",NULL,"2003-E-PATRIMONIO",NULL
"Sur-Natures","La Cité du Numérique, Futuroscope, Poitiers (FRA)","perso","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-POITIERS",NULL
"Sur-Natures","La façade de LCL, 55 avenue des Champs-Elysées, Paris (FRA)","perso","2007-01-01T00:00:00","2007-01-01T00:00:00",NULL,"2007-E-PARISLCL",NULL
"Sur-Natures","La Géode, Paris (FRA)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PARISGEODE",NULL
"Sur-Natures","Paris","perso","1950-01-01T00:00:00","1950-01-01T00:00:00",NULL,"2006-E-PARISSUD","sites/default/files/media/images/2006-e-parissud-3.jpg,sites/default/files/media/images/2006-e-parissud-4.jpg,sites/default/files/media/images/2006-e-parissud-5.jpg,sites/default/files/media/images/2006-e-parissud-6.jpg,sites/default/files/media/images/2006-e-parissud-1.jpg,sites/default/files/media/images/2006-e-parissud-2.jpg"
"Sur-Natures","Rue des trois cailloux, Amiens (FRA)","groupe","2007-01-01T00:00:00","2007-01-01T00:00:00",NULL,"2007-E-AMIENS",NULL
"Sur-Natures","Villepinte (FRA)","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-VILLEPINTE",NULL
"Sur-Natures in vitro","Galerie des enfants du Centre Georges Pompidou, Paris (FRA)","perso","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-PARISPOMPIDOU",NULL
"Sur-Natures VIRY-CHATILLON","Grande galerie de l'espace culturel Condorcet, 21 rue Maurice Sabatier, 91170, Viry-Chatillon (FRA)","perso","2007-05-12T00:00:00","2007-05-26T00:00:00",NULL,"2007-E-VIRYCHATILLON","sites/default/files/media/images/2007-e-virychatillon-1.jpg,sites/default/files/media/images/2007-e-virychatillon-2.jpg,sites/default/files/media/images/2007-e-virychatillon-3.jpg,sites/default/files/media/images/2007-e-virychatillon-4.jpg,sites/default/files/media/images/2007-e-escondorcet.jpg"
"Tableau de bord","Galerie Intersection 11/20","groupe","1990-01-16T00:00:00","1990-04-14T00:00:00","Veronica Tello","1990-E-PARISINTERSECTION","sites/default/files/media/images/1990-e-parisintersection_0.jpg"
"Tableau de bord - installation vidéo","Intersection 11/20, Paris (FRA)","perso","1990-01-01T00:00:00","1990-01-01T00:00:00",NULL,"1990-E-PARISINTERSECTION",NULL
"Tapis Magiques","Eglise du Sacré Cœur, Casablanca","perso","2014-04-02T00:00:00","2014-04-06T00:00:00",NULL,"2014-E-CASABLANCA",NULL
"TEFAF Maastricht","MECC Maastricht Forum 100 6229 GV Maastricht, Pays Bas","perso","2019-03-16T00:00:00","2019-03-24T00:00:00","Mayor Gallery","2019-E-MAASTRICHT",NULL
"Telaviv","Telaviv","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2010-E-TELAVIV","sites/default/files/media/images/2010-e-telaviv-7.jpg,sites/default/files/media/images/2010-e-telaviv-6.jpg,sites/default/files/media/images/2010-e-telaviv-5.jpg,sites/default/files/media/images/2010-e-telaviv-4.jpg,sites/default/files/media/images/2010-e-telaviv-3.jpg,sites/default/files/media/images/2010-e-telaviv-2.jpg,sites/default/files/media/images/2010-e-telaviv-1.jpg"
"Télescopages ANVERS","121 Art Gallery, Anvers (BEL)","perso","1990-04-01T00:00:00","1990-05-01T00:00:00","121 Art Gallery","1990-E-ANVERS",NULL
