"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","filepaths"
"Miguel Chevalier","Centre d'art contemporain Artère, 24, rue d'Aguessau, 92100 Boulogne-Billancourt (FRA)","perso","1998-09-16T00:00:00","1998-11-16T00:00:00","Centre d'art contemporain Artère","1998-E-BOULOGNEBILLANCOURT","sites/default/files/media/images/1998-e-boulogneinvit.jpg,sites/default/files/media/images/1998-e-boulogneinvitr.jpg"
"Mondial","Grimaldi Forum, Monaco (MCO)","groupe","2001-01-01T00:00:00","2001-01-01T00:00:00",NULL,"2001-E-MONACO",NULL
"Montluçon Art Mobile","Fonds d'art moderne et contemporain, 25 rue des Faucheroux, 03100 Montluçon, France","groupe","2019-04-12T00:00:00","2019-06-02T00:00:00","Marie-Laure Desjardins","2019-E-MONTLUCON",NULL
"More Light!","Association for Culture and Education KIBLA, Maribor (SVN)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-MARIBOR","sites/default/files/media/images/2010-e-maribor-1.jpg,sites/default/files/media/images/2010-e-maribor-2.jpg,sites/default/files/media/images/2010-e-maribor-3.jpg,sites/default/files/media/images/2010-e-maribor-4.jpg,sites/default/files/media/images/2010-e-maribor-5.jpg,sites/default/files/media/images/2010-e-maribor-6.jpg"
"Mosaïques","Espace Jules Vernes, Brétigny-sur-Orge","perso","1989-01-01T00:00:00","1989-01-01T00:00:00",NULL,"1989-E-BRETIGNY1",NULL
"Moscou","Moscou","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2008-E-MOSCOU","sites/default/files/media/images/2008-e-moscou-1.jpg"
"Mouvement et lumière","Villa Datris, L'Isle-sur-la-Sorgue","groupe","2012-04-07T00:00:00","2012-11-04T00:00:00",NULL,"2012-E-ISLESSORGUE","sites/default/files/media/images/2012-e-islessorgue-1.jpg,sites/default/files/media/images/2012-e-islessorgue-2.jpg,sites/default/files/media/images/2012-e-islessorgue-3.jpg"
"Multi-écrans","Exposition on-line, www.enviedart.com, Paris (FRA)","perso","2000-09-21T00:00:00","2000-10-21T00:00:00","enviedart.com","2000-E-PARISONLINE","sites/default/files/media/images/2000-e-parisonlinev.jpg"
"Mumbai","Mumbai","perso","2007-01-01T00:00:00","2007-01-01T00:00:00","-","2007-E-MUMBAI","sites/default/files/media/images/2007-e-mumbai-4.jpg,sites/default/files/media/images/2007-e-mumbai-2.jpg,sites/default/files/media/images/2007-e-mumbai-3.jpg,sites/default/files/media/images/2007-e-mumbai-5.jpg,sites/default/files/media/images/2007-e-mumbai-1.jpg"
"Mutatio","Garage Amelot, 2 passage Saint Pierre Amelot, 75011 Paris","groupe","2019-10-15T00:00:00","2019-10-19T00:00:00","Franck James Marlot","2019-E-PARISAMELOT",NULL
"Mutations de l'image","Vidéothèque, Paris (FRA)","groupe","1994-01-01T00:00:00","1994-01-01T00:00:00",NULL,"1994-E-PARISVIDEOTHEQUE",NULL
"Narcisse blessé","Passage de Retz, Paris (FRA)","groupe","2000-01-01T00:00:00","2000-01-01T00:00:00",NULL,"2000-E-PARISRETZ",NULL
"Natural / Digital","Biche de Bere Gallery, Paris (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-PARISBICHE2",NULL
"Natural Digital","Fondation Vasarely, Aix-en-Provence (FRA)","groupe","2007-01-01T00:00:00","2007-01-01T00:00:00",NULL,"2007-E-AIXENPROVENCE",NULL
"Nature de synthèse","Galerie du Cirque, 23 rue du Cirque, 75008 Paris (FRA)","perso","1998-03-12T00:00:00","1998-04-30T00:00:00","Galerie du Cirque, Sylvana Lorenz","1998-E-PARISCIRQUE","sites/default/files/media/images/1998-e-pariscirquelorenz.jpg,sites/default/files/media/images/1998-e-pariscirqueint.jpg"
"New Lights","Galerie François Léage, 178 rue du Faubourg Saint-Honoré, 75008 Paris (F)","groupe","2018-04-05T00:00:00","2018-06-30T00:00:00","Louis Amar","2018-E-PARISLEAGE",NULL
"Nos années 80","Fondation Cartier, Jouy-en-Josas (FRA)","groupe","1989-06-16T00:00:00","1989-11-05T00:00:00","-","1989-E-JOUY-EN-JOSAS",NULL
"Nouvelles images","Grande Halle de la Vilette, Paris","groupe","1986-01-01T00:00:00","1986-01-01T00:00:00",NULL,"1986-E-PARIS",NULL
"Nuage Fractal ","Château de Dravert / Galerie Barnoud, La Guiche ","perso","2012-06-23T00:00:00","2012-09-08T00:00:00",NULL,"2012-E-DRAVERT","sites/default/files/media/images/2012-e-dravert-10.jpg,sites/default/files/media/images/2012-e-dravert-9.jpg,sites/default/files/media/images/2012-e-dravert-8.jpg,sites/default/files/media/images/2012-e-dravert-7.jpg,sites/default/files/media/images/2012-e-dravert-6.jpg,sites/default/files/media/images/2012-e-dravert-5.jpg,sites/default/files/media/images/2012-e-dravert-4.jpg,sites/default/files/media/images/2012-e-dravert-3.jpg,sites/default/files/media/images/2012-e-dravert-2.jpg,sites/default/files/media/images/2012-e-dravert-1.jpg,sites/default/files/media/images/2012-e-dravert-11.jpg"
"Objets d'artistes","Galerie Krief, Paris (FRA)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-PARISKRIEF",NULL
"Olimpicos 92","Palau Moya, Barcelone (ESP)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-BARCELONEMOYA",NULL
"Oltrefoto","Museo Ken Damy, Brescia (ITA)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-BRESCIA",NULL
"On a marché sur la terre","Centre d'art de l'Yonne, Commun du château de Tanlay (FRA)","groupe","2009-06-06T00:00:00","2009-09-27T00:00:00","Centre d'art de l'Yonne","2009-E-TANLAY",NULL
"Onde Pixel","Unicredit Pavilion, Piazza Gae Aulenti, 10, 20124 Milan, (ITA)","perso","2016-07-26T00:00:00","2016-08-28T00:00:00","UniCredit","2016-E-UNICREDITMILAN",NULL
"Orbites, 2019","Beaugrenelle Paris, Atrium Magnetic, 12 rue Linois, Paris 75015","perso","2019-09-12T00:00:00","2019-11-07T00:00:00","Jérôme Neutres","2019-E-PARISBEAUGRENELLE",NULL
"Origine du Monde 2017","Festival VIA, Espace sculfort, Maubeuge (FRA)","perso","2017-11-10T00:00:00","2017-11-19T00:00:00",NULL,"2017-E-MAUBEUGE",NULL
"Oro negro COLOMBIA","Museo de arte universidad nacional de Colombia, Bogota (COL)","perso","1994-01-01T00:00:00","1994-01-01T00:00:00",NULL,"1994-E-BOGOTA",NULL
"Oro negro MEXICO","Museo de arte Alvar y Carmen T. de Carrillo Gil, Mexico (MEX)","perso","1996-01-01T00:00:00","1996-01-01T00:00:00",NULL,"1996-E-MEXICOMUSEE",NULL
"Oro negro VENEZUELA CARACAS"," Museo de artes visuales Alejandro Otero, Caracas (VEN)","perso","1993-01-01T00:00:00","1993-01-01T00:00:00",NULL,"1993-E-CARACAS",NULL
"Oro negro VENEZUELA MARACAÏBO","Museo de bellas artes, Maracaïbo (VEN)","perso","1993-01-01T00:00:00","1993-01-01T00:00:00",NULL,"1993-E-MARACAIBO",NULL
"Oro negro VENEZUELA PUERTO LA CRUZ","Centro de arte contemporaneo de Corpoven, Puerto la Cruz (VEN)","perso","1993-01-01T00:00:00","1993-01-01T00:00:00",NULL,"1993-E-PUERTOLACRUZ",NULL
"Otra natura","Centro nacional de las artes - Centro multimedia, Mexico (MEX)","perso","1996-02-16T00:00:00","1996-03-21T00:00:00",NULL,"1996-E-MEXICOCENTRE","sites/default/files/media/images/1996otranatura-5.jpg,sites/default/files/media/images/1996otranatura-4_0.jpg,sites/default/files/media/images/1996otranatura-3.jpg"
"Pacaembù - Uma réplica planetaria para a cidade/mundo de Sao Paulo ","Oficina Cultural Oswald de Andrade, Sao Paulo (BRA)","groupe","1999-01-01T00:00:00","1999-01-01T00:00:00",NULL,"1999-E-SAOPAULO",NULL
